,mean,1std,-1std,2std,-2std,month
2000-01-01,0.00276575265595,0.0029764321449,0.00255777600959,0.00317828010676,0.00237872700492,1
2000-01-02,0.00275933886843,0.00296947549997,0.00255170751608,0.00316585864538,0.00237497976101,1
2000-01-03,0.00275334574021,0.00296301850051,0.00254389017793,0.00316405280302,0.00237134774287,1
2000-01-04,0.00274793427331,0.00295623390021,0.00253956032931,0.00316447425494,0.00236433402585,1
2000-01-05,0.00274414550997,0.00295474371458,0.00253701073447,0.00315319920181,0.00236336014355,1
2000-01-06,0.00274063335641,0.00294969069018,0.00253357785216,0.00314911751204,0.00236260291969,1
2000-01-07,0.00273620857417,0.00294464779861,0.00253152455292,0.00314370701248,0.00235738796053,1
2000-01-08,0.00273268205848,0.00294004676026,0.0025280999955,0.00313857855382,0.00235539363769,1
2000-01-09,0.0027309283195,0.00293572810853,0.00252556161378,0.00314085133255,0.0023535542267,1
2000-01-10,0.00272901467105,0.00293326655942,0.00252447769602,0.00313401703522,0.00235139282706,1
2000-01-11,0.00272701312873,0.00293249018684,0.00252203361345,0.00313505292643,0.00235327813919,1
2000-01-12,0.00272599519404,0.00292992252822,0.00252211310088,0.00313412142096,0.00235219559081,1
2000-01-13,0.00272520005505,0.00292728648047,0.00251999269575,0.00313152056188,0.00235303709852,1
2000-01-14,0.00272386476942,0.00292832153706,0.00251754379992,0.00313005025987,0.0023553534328,1
2000-01-15,0.00272169548205,0.0029260176756,0.00251788550963,0.00312427872295,0.00235377724078,1
2000-01-16,0.00271924536739,0.00292363550663,0.0025155141157,0.00312404700387,0.00234839041005,1
2000-01-17,0.00271816792854,0.00292034710027,0.00251260755337,0.0031246502538,0.00234211140029,1
2000-01-18,0.00271753626774,0.00292218427111,0.00251279771232,0.00312346870348,0.00234327190024,1
2000-01-19,0.00271743690922,0.00292107100573,0.00251375500503,0.00312050233488,0.00233853772129,1
2000-01-20,0.00271669481381,0.00292200278941,0.00251384139295,0.00311510849041,0.00233532280229,1
2000-01-21,0.00271476005007,0.00291889009376,0.00251137490844,0.00311656094585,0.00233383016588,1
2000-01-22,0.00271205927952,0.00291899145536,0.00250993298259,0.00311694736682,0.00233221763931,1
2000-01-23,0.00270900195954,0.00291308481958,0.00250826130756,0.00311690378737,0.00233219255514,1
2000-01-24,0.00270706115147,0.0029125101552,0.00250553545675,0.00311648431106,0.00233503678459,1
2000-01-25,0.00270498813637,0.00290951852332,0.00250102474787,0.00311749769263,0.00232891436945,1
2000-01-26,0.00270158265913,0.00290621519891,0.00249837885138,0.00311347457435,0.00232674930307,1
2000-01-27,0.0026985329307,0.00290013351793,0.0024951520584,0.00310924510091,0.0023259213701,1
2000-01-28,0.00269607992407,0.00289690895614,0.00249306895961,0.00310665486225,0.00232301064454,1
2000-01-29,0.00269484041588,0.00289535608949,0.00249210721158,0.00310684095203,0.00232172734225,1
2000-01-30,0.00269358050585,0.00289714209979,0.0024901366261,0.00310355066611,0.00232371077157,1
2000-01-31,0.00269287367574,0.00289485241095,0.00248830168355,0.00309730561783,0.00232705166944,1
2000-02-01,0.00269265459627,0.0028926691775,0.00249017858951,0.00309650230515,0.00232207995486,2
2000-02-02,0.00269369984146,0.00289293034617,0.00249034917041,0.0030925141094,0.00232232733569,2
2000-02-03,0.00269460483236,0.00289661120816,0.00249052105571,0.00310088387617,0.0023268884705,2
2000-02-04,0.00269579771108,0.00289816449738,0.00249272572964,0.00310213562544,0.00232662803735,2
2000-02-05,0.00269824638783,0.00290332495686,0.00249286573261,0.00310411422798,0.00233249311365,2
2000-02-06,0.00270113323317,0.00290955843734,0.00249563440389,0.00310579707102,0.00233549044183,2
2000-02-07,0.0027048107207,0.00291289993826,0.00249912296375,0.00310955028613,0.00234098109749,2
2000-02-08,0.00270800121605,0.0029174704283,0.00250266919183,0.00311498443492,0.00233902412666,2
2000-02-09,0.00271078510138,0.00292040603873,0.00250546740873,0.00311933624997,0.00233667524614,2
2000-02-10,0.00271347000582,0.00292213120063,0.00250726210656,0.00311988575828,0.00233884531495,2
2000-02-11,0.00271576564627,0.0029253885348,0.00250917299138,0.00312877688356,0.0023357640403,2
2000-02-12,0.00271699490252,0.00292487613635,0.00250874691035,0.00313671698452,0.00233516306377,2
2000-02-13,0.00271957512845,0.00292685048815,0.00251026378494,0.00313440136315,0.00233860033741,2
2000-02-14,0.0027216108996,0.00292874506457,0.00251265283512,0.00313765078769,0.00233603876342,2
2000-02-15,0.00272101100653,0.00292897709179,0.00251055793353,0.00313255570137,0.00233417386871,2
2000-02-16,0.00271991301148,0.00292587703991,0.00251246714282,0.00313127603122,0.00233351145288,2
2000-02-17,0.00271875436769,0.00292680662465,0.00251029951564,0.00313687082695,0.00233175398642,2
2000-02-18,0.00271622603032,0.00292525619184,0.00250739257343,0.00312951018189,0.00233198617532,2
2000-02-19,0.00271370746367,0.00292279737238,0.0025031538066,0.00312705561529,0.00232746739168,2
2000-02-20,0.00271174925245,0.00292155519074,0.00250025778926,0.00312797815006,0.0023306868835,2
2000-02-21,0.00270758756797,0.00291819523654,0.00249777201037,0.00312018646958,0.00232865886618,2
2000-02-22,0.00270147931478,0.00291028191802,0.00249321472979,0.00310651166868,0.00232621120513,2
2000-02-23,0.0026975583892,0.00290485009329,0.00248806286656,0.00310692267777,0.00232507641985,2
2000-02-24,0.00269373964656,0.00290237455884,0.00248684342889,0.00310104584475,0.00232373689786,2
2000-02-25,0.00268891184397,0.00289763839442,0.00247999808077,0.00309319954649,0.00231720168786,2
