Days to Ovulation,Cycles,Success,Estimated Rate,Estimated Error
-5,12,1,0.1,0.08
-4,24,4,0.16,0.06
-3,13,1,0.14,0.08
-2,28,10,0.27,0.07
-1,38,13,0.31,0.06
0,14,5,0.33,0.09
